gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACSAL1_RS18980	2349.739544506617	-4.417101689427855	0.15075142023103771	-29.30056435062648	1.0201016734044107e-188	4.945209306294814e-187	WP_209387781.1	NA	GNAT family N-acetyltransferase	186.30581532213654	Down	NA
gene-ACSAL1_RS19025	1354.5984506367583	-6.118408007811016	0.20885995607135255	-29.294308602271236	1.2255536768447715e-188	5.853821091752673e-187	WP_017418503.1	NA	cupin-like domain-containing protein	186.23256055488685	Down	NA
gene-ACSAL1_RS06625	1012.2314374955288	-7.251040954502982	0.2490697433766703	-29.112492172672983	2.49450895191635e-186	1.1742268225832328e-184	WP_209388151.1	NA	peptide ABC transporter substrate-binding protein	183.9302480033598	Down	NA
gene-ACSAL1_RS13070	1123.136493730466	-5.096616963351106	0.17545719880151137	-29.047636678143547	1.6482823727157916e-185	7.648030209401271e-184	WP_007408119.1	fadR	fatty acid metabolism transcriptional regulator FadR	183.11645040528342	Down	NA
gene-ACSAL1_RS13920	1162.107645576362	-7.650714476573377	0.26439717064516294	-28.93644609700117	4.156264608321588e-184	1.9013447109617626e-182	WP_021494482.1	melA	alpha-galactosidase MelA	181.72093913905408	Down	NA
gene-ACSAL1_RS08205	10233.33917635668	-4.081477895794977	0.1412875622885092	-28.887736681737064	1.7023394434246403e-183	7.6794423781156e-182	WP_209388232.1	sucD	succinate--CoA ligase subunit alpha	181.11467031393977	Down	NA
gene-ACSAL1_RS13055	1734.8765340026175	-5.660762298235775	0.1962046731917481	-28.851312286041168	4.878399097774715e-183	2.1705534615852425e-181	WP_021494410.1	NA	electron transfer flavoprotein subunit alpha/FixB family protein	180.6634295128497	Down	NA
gene-ACSAL1_RS17230	4806.359784782565	-4.6499084786959255	0.1613752383556356	-28.814262498243675	1.4215709871660642e-182	6.239544008534293e-181	WP_007407578.1	xynA	endo-1%2C4-beta-xylanase XynA	180.2048471477877	Down	NA
gene-ACSAL1_RS10810	875.367439341924	-5.216732604908226	0.18371459655516492	-28.395852603588693	2.2752002985469054e-177	9.853134092907132e-176	WP_481748173.1	NA	sugar dehydratase	175.00642560678568	Down	NA
gene-ACSAL1_RS06335	962.4681285855916	-7.680767898740889	0.27449966242415114	-27.980973932393137	2.7693027409133135e-172	1.1835125398008474e-170	WP_003154881.1	NA	PhrA family phosphatase inhibitor	169.92682713618234	Down	NA
gene-ACSAL1_RS15365	3763.7336692306535	-3.9498832941332127	0.14184579062192698	-27.846320125643736	1.1935306707034944e-170	5.034529374603829e-169	WP_209387577.1	NA	M3 family oligoendopeptidase	168.29804112085324	Down	NA
gene-ACSAL1_RS14570	2270.97167213768	4.312788476026074	0.15499853350249293	27.82470503797837	2.1800710038753283e-170	9.07803925716291e-169	WP_007408653.1	yugI	S1 domain-containing post-transcriptional regulator GSP13	168.04200794352175	Up	NA
gene-ACSAL1_RS17510	3132.85884930955	-4.439869407920651	0.1618854425015128	-27.42599544044339	1.3435557839993815e-165	5.523885046113913e-164	WP_209387681.1	NA	(Fe-S)-binding protein	163.25775536781205	Down	NA
gene-ACSAL1_RS09505	1230.3268449988625	-5.0478874188218175	0.1857210299869364	-27.179945206942293	1.1212616281014351e-162	4.552322210091827e-161	WP_209387321.1	dacB	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine endopeptidase	160.34176700647402	Down	NA
gene-ACSAL1_RS01565	1262.483865106935	-4.883845397278584	0.18015589360993045	-27.108995989068102	7.713254257100696e-162	3.092919731736181e-160	WP_209387856.1	NA	MFS transporter	159.50963135077484	Down	NA
gene-ACSAL1_RS07630	856.0300900589857	-6.443366049670765	0.23792243821410936	-27.081792276659087	1.6135741361385543e-161	6.391327797778079e-160	WP_021493723.1	ctaG	cytochrome c oxidase assembly factor CtaG	159.19440890782846	Down	NA
